lien,groupe_parlementaire,departement
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2360/(legislature)/47,Union et fraternité francaise,Finistère
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2364/(legislature)/47,Communiste,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2375/(legislature)/47,Communiste,Haute-Vienne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2388/(legislature)/47,Socialiste,Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2394/(legislature)/47,Socialiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2448/(legislature)/47,Républicain radical et radical-socialiste,Eure-et-Loir
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9087/(legislature)/47,Socialiste,Ardennes
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2481/(legislature)/47,Républicain radical et radical-socialiste,Saône-et-Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2485/(legislature)/47,Socialiste,Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2495/(legislature)/47,Indépendants d'outre-mer,Sénégal
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2497/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Guinée
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2499/(legislature)/47,Communiste,Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2500/(legislature)/47,Socialiste,Soudan
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2501/(legislature)/47,Union et fraternité francaise,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2508/(legislature)/47,Mouvement républicain populaire,Côtes-du-Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1387/(legislature)/47,Indépendants et paysans d'action sociale,Puy-de-Dôme
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2531/(legislature)/47,Communiste,Bouches-du-Rhône
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2552/(legislature)/47,Mouvement républicain populaire,Territoire-de-Belfort
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2564/(legislature)/47,Indépendants d'outre-mer,Cameroun
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2576/(legislature)/47,Socialiste,Somme
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2590/(legislature)/47,Républicain progressiste,Territoire-de-Belfort
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2596/(legislature)/47,Républicains sociaux,Sarthe
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2621/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Nièvre
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2649/(legislature)/47,Union et fraternité française,Haute-Savoie
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2652/(legislature)/47,Communiste,Seine
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2655/(legislature)/47,Républicain radical et radical-socialiste,Haute-Garonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2673/(legislature)/47,Communiste,Isère
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2695/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Haute-Vienne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2709/(legislature)/47,Socialiste,Pas-de-Calais
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2720/(legislature)/47,Communiste,Meurthe-et-Moselle
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2727/(legislature)/47,Communiste,Lot-et-Garonne
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2730/(legislature)/47,Mouvement républicain populaire,Indre-et-Loire
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2739/(legislature)/47,Communiste,Gironde
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2747/(legislature)/47,Mouvement républicain populaire,Nord
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2768/(legislature)/47,Républicains sociaux,Nièvre
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2780/(legislature)/47,Socialiste,Ariège
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2804/(legislature)/47,Union démocratique et socialiste de la Résistance et du RDA,Madagascar
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2805/(legislature)/47,Communiste,Seine-et-Oise
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2814/(legislature)/47,Républicains sociaux,Tchad
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2827/(legislature)/47,Mouvement républicain populaire,Moselle
http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2851/(legislature)/47,Communiste,Bouches-du-Rhône
